movieId,weight_rating,title,genres
1,3.749305651701647,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,3.0334242131270224,Jumanji (1995),Adventure|Children|Fantasy
5,2.790074883369271,Father of the Bride Part II (1995),Comedy
6,3.6836891323763234,Heat (1995),Action|Crime|Thriller
10,3.241679913930248,GoldenEye (1995),Action|Adventure|Thriller
11,3.323177325060194,"American President, The (1995)",Comedy|Drama|Romance
16,3.665653177442418,Casino (1995),Crime|Drama
19,2.5935531794817157,Ace Ventura: When Nature Calls (1995),Comedy
20,2.7315254615937503,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
23,2.9040119722986777,Assassins (1995),Action|Crime|Thriller
25,3.497601540105415,Leaving Las Vegas (1995),Drama|Romance
31,2.9722440422245926,Dangerous Minds (1995),Drama
32,3.818403082456106,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,3.3253751958639675,Babe (1995),Children|Drama
36,3.589436664739741,Dead Man Walking (1995),Crime|Drama
39,3.251641233916911,Clueless (1995),Comedy|Romance
41,3.3980177726709417,Richard III (1995),Drama|War
44,2.567403370300403,Mortal Kombat (1995),Action|Adventure|Fantasy
45,3.299289442699168,To Die For (1995),Comedy|Drama|Thriller
47,3.951627701597024,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,4.093091918071782,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
62,3.281287158853125,Mr. Holland's Opus (1995),Drama
65,2.407924491449939,Bio-Dome (1996),Comedy
70,3.2120032485289514,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
95,2.786948908346903,Broken Arrow (1996),Action|Adventure|Thriller
104,3.1951391579854,Happy Gilmore (1996),Comedy
110,3.7476126459733337,Braveheart (1995),Action|Drama|War
141,3.224852794673633,"Birdcage, The (1996)",Comedy
145,3.0888104414551485,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
150,3.6109711099105857,Apollo 13 (1995),Adventure|Drama|IMAX
151,3.2773290308916425,Rob Roy (1995),Action|Drama|Romance|War
153,2.6058187008228924,Batman Forever (1995),Action|Adventure|Comedy|Crime
158,2.7306764824072767,Casper (1995),Adventure|Children
160,2.449902807543486,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,3.404559129767502,Crimson Tide (1995),Drama|Thriller|War
163,3.298599842693832,Desperado (1995),Action|Romance|Western
165,3.360908176879971,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
170,3.012461206999929,Hackers (1995),Action|Adventure|Crime|Thriller
172,2.686698182021253,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,2.4498192006682937,Judge Dredd (1995),Action|Crime|Sci-Fi
175,3.2361979335257764,Kids (1995),Drama
180,3.30491704955256,Mallrats (1995),Comedy|Romance
185,2.7378899694163517,"Net, The (1995)",Action|Crime|Thriller
186,2.668801218959713,Nine Months (1995),Comedy|Romance
193,2.330484073363069,Showgirls (1995),Drama
198,3.2276301993118928,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
204,2.60838417789026,Under Siege 2: Dark Territory (1995),Action
216,3.0347185314021448,Billy Madison (1995),Comedy
223,3.612846267861851,Clerks (1994),Comedy
231,2.9942640671977174,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
253,3.4166891671298236,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
256,2.479523586162067,Junior (1994),Comedy|Sci-Fi
260,4.025157613528017,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
267,2.7996985625851933,Major Payne (1995),Comedy
288,3.227977347304559,Natural Born Killers (1994),Action|Crime|Thriller
292,3.093642375561286,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,3.935770806480193,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,4.113418042649107,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
315,2.6660630323477212,"Specialist, The (1994)",Action|Drama|Thriller
316,3.23025294152562,Stargate (1994),Action|Adventure|Sci-Fi
317,2.890114212419696,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
318,4.217044806223389,"Shawshank Redemption, The (1994)",Crime|Drama
327,2.7072189788808023,Tank Girl (1995),Action|Comedy|Sci-Fi
329,3.063171985808227,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
333,3.1705478282139214,Tommy Boy (1995),Comedy
338,2.835061841611929,Virtuosity (1995),Action|Sci-Fi|Thriller
339,3.1126570704973524,While You Were Sleeping (1995),Comedy|Romance
344,2.949494306410786,Ace Ventura: Pet Detective (1994),Comedy
349,3.3388553263708802,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,3.1785095222275466,"Client, The (1994)",Drama|Mystery|Thriller
